id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination,isAccessible,locationCategoryId
2731,87H52H53+465,41.00776629858690,-76.44690408052080,2,7,p,0,1,5
2732,87H52H53+464,41.00775362716750,-76.44693200075400,2,7,p,0,1,5
2733,87H52H53+36V,41.00774128017760,-76.4469588878691,2,7,p,0,1,5
2734,87H52H53+36V,41.00773173616510,-76.44695132856470,2,7,p,0,1,5
2735,87H52H53+467,41.00779347215280,-76.44696449154100,2,7,p,0,1,5
2736,87H52H53+476,41.007778195017100,-76.44686756004080,2,7,p,0,1,5
2737,87H52H53+477,41.00779171458050,-76.44683824478500,2,7,p,0,1,5
2738,87H52H53+477,41.00779819275310,-76.4468434729359,2,7,p,0,1,5
2739,87H52H53+47F,41.00780798343870,-76.44682215964340,2,7,p,0,1,5
2740,87H52H53+47F,41.00781024529040,-76.44681727077850,2,7,p,0,1,5
2741,87H52H53+47G,41.00782490532580,-76.44678584900250,2,7,p,0,1,5
2742,87H52H53+47Q,41.007831585781800,-76.44677089614690,2,7,p,0,1,5
2743,87H52H53+48R,41.007852053002400,-76.44672594525520,2,7,p,0,1,5
2744,87H52H53+48R,41.007855139347000,-76.44671953867130,2,7,p,0,1,5
2745,87H52H53+48V,41.00786188732230,-76.44670492301700,2,7,p,0,1,5
2746,87H52H53+48W,41.007870330446200,-76.44668637747460,2,7,p,0,1,5
2747,87H52H53+584,41.00787661819820,-76.44667268329380,2,7,p,0,1,5
2748,87H52H53+48M,41.00783010060940,-76.44670800369460,2,7,p,0,1,5
2749,87H52H53+48F,41.00780672500460,-76.44668888857200,2,7,p,0,1,5
2750,87H52H53+48G,41.00781429403440,-76.44667215264290,2,7,p,0,1,5
2751,87H52H53+489,41.007790640017800,-76.44665283708050,2,7,p,0,1,5
2752,87H52H53+488,41.00778038171410,-76.44666749720260,2,7,p,0,1,5
2753,87H52H53+38W,41.00774995914090,-76.44666648773020,2,7,p,0,1,5
2754,87H52H53+37P,41.00772223743470,-76.44680263302780,2,7,p,0,1,5
2755,87H52H53+37G,41.007696852028600,-76.44678215170830,2,7,p,0,1,5
2756,87H52H53+37H,41.00768310682730,-76.4467707925556,2,7,p,0,1,5
