id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination
4101,87H52H42+V6C,41.0071875,-76.449484375,0,10,Sidewalk Outside,FALSE
4102,87H52H42+FC9,41.0061625,-76.44889062500000,0,10,Holtz Side Entrance,FALSE
4103,87H52H42+G9M,41.0063375,-76.449078125,0,10,Holtz Side Entrance,FALSE
4104,87H52H42+W6R,41.0073625,-76.449484375,0,10,Main Entrance,TRUE
4105,87H52H52+663,41.00801250000000,-76.44945312500000,0,10,Sidewalk Outside,FALSE
4106,87H52H52+569,41.0079125,-76.449390625,0,10,Sidewalk Outside,FALSE
4107,87H52H52+65W,41.008112500000000,-76.44954687500000,0,10,Sidewalk Outside,FALSE
4108,87H52H52+848,41.008287500000000,-76.449671875,0,10,Sidewalk Outside,FALSE
4109,87H52H52+637,41.0080375,-76.449828125,0,10,Sidewalk Outside,FALSE
4110,87H52H52+52W,41.0079875,-76.449921875,0,10,Sidewalk Outside,FALSE
4111,87H52H52+34R,41.007737500000000,-76.44973437500000,0,10,Sidewalk Outside,FALSE
4112,87H52G5X+2XM,41.0075875,-76.450078125,0,10,Sidewalk Outside,FALSE
4113,87H52G5X+8WM,41.008337500000000,-76.450203125,0,10,Sidewalk Outside,FALSE
4114,87H52H52+93V,41.0084875,-76.449828125,0,10,Haas Center Side Entrance,FALSE
4115,87H52H52+9F6,41.008412500000000,-76.448859375,0,10,Haas Center Main Entrance,TRUE
4117,87H52H52+9GX,41.0084875,-76.448640625,0,10,Sidewalk Outside,FALSE
4118,87H52H52+93V,41.0084875,-76.449828125,0,10,Sidewalk Outside,FALSE
4119,87H52H52+52R,41.0079875,-76.449984375,0,10,Columbia Main Entrance,TRUE
4120,87H52H42+RQ2,41.0070125,-76.448109375,0,10,Stairs Outside,FALSE
4121,87H52H42+RQ3,41.0070125,-76.448078125,0,10,Sidewalk Outside,FALSE
4122,87H52H42+VPF,41.0071875,-76.44820312500000,0,10,Sidewalk Outside,FALSE
4123,87H52H42+CC4,41.0060125,-76.448921875,0,10,Sidewalk Outside,FALSE
4124,87H52H42+99Q,41.005962500000000,-76.449015625,0,10,Sidewalk Outside,FALSE
4125,87H52H42+W2F,41.0073125,-76.44995312500000,0,10,Sidewalk Outside,FALSE
4126,87H52G4X+WX3,41.007262500000000,-76.450078125,0,10,Sidewalk Outside,FALSE
4127,87H52H42+R2X,41.007112500000000,-76.449890625,0,10,Sidewalk Outside,FALSE
4128,87H52H42+Q3X,41.006987500000000,-76.449765625,0,10,Sidewalk Outside,FALSE
4129,87H52H42+P3Q,41.0068375,-76.449765625,0,10,Sidewalk Outside,FALSE
4130,87H52G4X+QXQ,41.0069625,-76.45001562500000,0,10,Sidewalk Outside,FALSE
4131,87H52G4X+PVF,41.006812500000000,-76.450328125,0,10,Sidewalk Outside,FALSE
4132,87H52G4X+MQJ,41.006712500000000,-76.450609375,0,10,Sidewalk Outside,FALSE
4133,87H52G4X+JMM,41.006587500000000,-76.450828125,0,10,Sidewalk Outside,FALSE
4134,87H52G4X+HMW,41.006487500000000,-76.45079687500000,0,10,Sidewalk Outside,FALSE
4135,87H52G4X+PR4,41.006762500000000,-76.450421875,0,10,Stairs Outside,FALSE
4136,87H52H42+Q2W,41.006987500000000,-76.449921875,0,10,Stairs Outside,FALSE
4137,87H52G4X+MVH,41.0066875,-76.450265625,0,10,Kehr Union Main Entrance,TRUE
4138,87H52H42+G24,41.006262500000000,-76.449921875,0,10,Sidewalk Outside,FALSE
4139,87H52H42+94V,41.0059875,-76.449703125,0,10,Sidewalk Outside,FALSE
4141,87H52H42+84P,41.0058375,-76.449671875,0,10,Sidewalk Outside,FALSE
4142,87H52H42+75V,41.005737500000000,-76.449578125,0,10,Sidewalk Outside,FALSE
4144,87H52G4X+FXC,41.006187500000000,-76.450109375,0,10,Sidewalk Outside,FALSE
4145,87H52G4X+FR9,41.0061625,-76.450390625,0,10,Sidewalk Outside,FALSE
4146,87H52G4X+CQP,41.00608750000000,-76.450546875,0,10,Sidewalk Outside,FALSE
4148,87H52G4X+FPW,41.0062375,-76.450671875,0,10,Sidewalk Outside,FALSE
4149,87H52G4X+GM4,41.006262500000000,-76.45079687500000,0,10,Sidewalk Outside,FALSE
4150,87H52G4X+CPV,41.0061125,-76.45070312500000,0,10,Sidewalk Outside,FALSE
4151,87H52G4X+CP5,41.0060125,-76.450640625,0,10,Sidewalk Outside,FALSE
4152,87H52G4X+8RJ,41.0058375,-76.450484375,0,10,Sidewalk Outside,FALSE
4153,87H52G4X+8Q4,41.0057625,-76.450546875,0,10,Sidewalk Outside,FALSE
4154,87H52G4X+9JV,41.0059875,-76.450953125,0,10,Sidewalk Outside,FALSE
4155,87H52G4X+9J9,41.005912500000000,-76.450890625,0,10,Sidewalk Outside,FALSE
4156,87H52G4X+7HX,41.005737500000000,-76.451015625,0,10,Sidewalk Outside,FALSE
4157,87H52G4X+7J2,41.005637500000000,-76.45098437500000,0,10,Sidewalk Outside,FALSE
4158,87H52G4X+6Q7,41.0055375,-76.45057812500000,0,10,Sidewalk Outside,FALSE
4159,87H52G4X+CWH,41.0060625,-76.450140625,0,10,Scranton Commons Main Entrance,TRUE
4160,87H52H42+H44,41.0063875,-76.449671875,0,10,Stairs Outside,FALSE
4161,87H52G4X+5W6,41.005412500000000,-76.45023437500000,0,10,Sidewalk Outside,FALSE
4162,87H52G4X+4VW,41.005362500000000,-76.45029687500000,0,10,Sidewalk Outside,FALSE
4163,87H52G4X+4RP,41.005337500000000,-76.450421875,0,10,Sidewalk Outside,FALSE
4164,87H52G4X+CF4,41.0060125,-76.451296875,0,10,Sidewalk Outside,FALSE
4165,87H52G4X+FF4,41.006137500000000,-76.451296875,0,10,Sidewalk Outside,FALSE
4166,87H52G4X+CH3,41.0060125,-76.45107812500000,0,10,Sidewalk Outside,FALSE
4167,87H52G4X+PH5,41.006762500000000,-76.451015625,0,10,Sidewalk Outside,FALSE
4168,87H52G4X+PGH,41.006812500000000,-76.451140625,0,10,Sidewalk Outside,FALSE
4169,87H52G4X+J9V,41.0066125,-76.451578125,0,10,Sidewalk Outside,FALSE
4170,87H52G4X+QFW,41.006987500000000,-76.451296875,0,10,Sidewalk Outside,FALSE
4171,87H52G4X+RCW,41.007112500000000,-76.451421875,0,10,Sidewalk Outside,FALSE
4172,87H52G4X+RG8,41.007037500000000,-76.451171875,0,10,Sidewalk Outside,FALSE
4173,87H52H53+3FX,41.007737500000000,-76.446265625,0,10,Sidewalk Outside,FALSE
4174,87H52H64+3M6,41.0101625,-76.443359375,0,10,Student Recreation Main Entrance,TRUE
4175,87H52H64+3G8,41.0101625,-76.443671875,0,10,Sidewalk Outside,FALSE
4176,87H52H54+RGG,41.0095625,-76.443671875,0,10,Sidewalk Outside,FALSE
4177,87H52H42+MM9,41.006662500000000,-76.448265625,0,10,Sidewalk Outside,FALSE
